title,category,subcategory,price,image_url,sizes,is_active,description
__HERO__,,,0,/https://raw/refs/heads/main/images/intro.MP4,,0,
Japanese pants AKUMA #0321,Брюки/Джинсы,,6000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Japanese%20pants%20AKUMA%20%230321.JPG,"S,M,L,XL,XXL",1,"Состояние: новое. Японские брюки ручной работы из премиального материала (80% хлопок / 20% полиэстер). Широкий фит, идеальная посадка, глубокий чёрный цвет, металлическая молния, широкие шлёвки. Подходят как для классики, так и для повседневного образа."
Cropped fit Winter puffer jackets AKUMA #0585,Куртки/Бомберы,,8500,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Cropped%20fit%20Winter%20puffer%20jackets%20AKUMA%20%230585.JPG,"S,M,L,XL,XXL,XXXL",1,"Состояние: новое. Укороченный зимний пуховик: водоотталкивающий верх, отличная защита от ветра и снега, объёмный капюшон на утяжках, минималистичный строгий дизайн, тёплая набивка из полиэфирного волокна и «шёлковых» нитей."
Puffer Fur Winter jacket AKUMA #0586,Куртки/Бомберы,,8500,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Puffer%20Fur%20Winter%20jacket%20AKUMA%20%230586.jpg,"S,M,L,XL,XXL,XXXL",1,"Состояние: новое. Зимний пуховик с мехом (мех съёмный). Верх — водоотталкивающее полиэфирное волокно, наполнение — шёлк и хлопок (комфорт до −30 °C). Объёмный капюшон и множество карманов для удобства."
Baggy sport pants AKUMA black #0340/1,Брюки/Джинсы,,5000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Baggy%20sport%20pants%20AKUMA%20black%20%230340_1.png,"S,M,L,XL,XXL",1,"Состояние: новое. Плотный премиальный хлопок, идеальная посадка, универсальный пояс на резинке и утяжке, широкий удлинённый силуэт, утяжки снизу для посадки под рост. База, которая всегда работает."
Baggy sport pants AKUMA grey #0340/3,Брюки/Джинсы,,5000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Baggy%20sport%20pants%20AKUMA%20grey%20%230340_3.jpg,"S,M,L,XL,XXL",1,"Состояние: новое. Плотный премиальный хлопок, идеальная посадка, универсальный пояс на резинке и утяжке, широкий удлинённый силуэт, утяжки снизу. Базовый серый цвет."
Gorpcore AKUMA olive pants #0323/4,Брюки/Джинсы,,5000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Gorpcore%20AKUMA%20olive%20pants%20%230323_4.jpg,"S,M,L,XL,XXL",1,"Состояние: новое. Штаны-парашюты из хлопка и полиэстера в японском стиле. Утяжка на поясе для идеальной посадки, оптимальная длина под любой рост, утяжка внизу штанины для вариативного вида."
Gorpcore AKUMA black pants #0323/1,Брюки/Джинсы,,5000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Gorpcore%20AKUMA%20black%20pants%20%230323_1.jpg,"S,M,L,XL,XXL",1,"Состояние: новое. Штаны-парашюты из хлопка и полиэстера в японском стиле. Утяжка на поясе, идеальная длина, утяжка внизу — можно менять силуэт."
Baggy oversized hoodie AKUMA Black #074/1,Толстовки/Свитера,,4500,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Baggy%20oversized%20hoodie%20AKUMA%20Black%20%23074_1%20.png,"S,M,L,XL,XXL,XXXL",1,"Состояние: новое. Оверсайз-худи из плотного хлопка с флисом внутри — отличный вариант на зиму. Глубокий чёрный цвет и идеальный крой."
Basic black jeans AKUMA #0338/1,Брюки/Джинсы,,5000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Basic%20black%20jeans%20AKUMA.jpg,"S,M,L,XL",1,"Состояние: новое. Плотная премиальная джинса, глубокий чёрный цвет, стальная фурнитура, широкий удлинённый силуэт. Выделит вас из толпы."
Basic grey jeans AKUMA #0338/5,Брюки/Джинсы,,5000,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/main/images/Basic%20grey%20jeans%20AKUMA%20%230338_5.jpg,"S,M,L,XL",1,"Состояние: новое. Плотная премиальная джинса, глубокий серый цвет, стальная фурнитура, широкий удлинённый силуэт."
Puffer Fur Winter jacket AKUMA #0586,Куртки/Бомберы,,8500,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/refs/heads/main/images/Beton%20AKUMA%20puffer.jpg,"S,M,L,XL,XXL,XXXL",1,"Состояние: новое. Зимний пуховик с мехом (мех съёмный). Верх — водоотталкивающее полиэфирное волокно, наполнение — шёлк и хлопок (комфорт до −30 °C). Объёмный капюшон и множество карманов для удобства."
Gorpcore Winter puffer jackets AKUMA #0570,Куртки/Бомберы,,8500,https://raw.githubusercontent.com/nmuravkov-alt/PLACE-shop/refs/heads/main/images/Gorpcore%20Winter%20puffer%20jacket.png,"S,M,L,XL",1,"Состояние: новое. Теплый зимний пуховик. Объемный капюшон на утяжках, который закрывает вашу башню. Теплая набивка в сочетании с интересным силуэтом. Сочетание минимализма и строгости. Обеспечивает тепло в зимний период. Выдерживает до -15 градусов. Набивка: набивка из полиэфирного волокна и «шёлковых» нитей."
